"","personid","income","tutor","tutorid","distance"
"1",1,41526.4210043493,0,NA,0.870097700058458
"2",2,17746.785940856,0,NA,0.651381839674297
"3",3,49478.7156667248,0,NA,0.521920373115283
"4",4,14528.0210452651,0,NA,0.797810662100555
"5",5,36800.8685168913,0,NA,0.292434896852473
"6",6,39461.4968973162,0,NA,0.679004942874381
"7",7,5866.6980740626,1,621,2.2930788371923
"8",8,12129.9133069722,1,573,0.306486859619748
"9",9,10528.0509161268,0,NA,0.852809671123396
"10",10,17077.0736976436,0,NA,0.653988598628352
"11",11,31650.3511966268,0,NA,2.32206056431885
"12",12,10111.3062943446,0,NA,1.87319150272328
"13",13,20183.5007290967,1,428,0.792823775234363
"14",14,37451.1841807669,0,NA,0.321898526111404
"15",15,34645.5057718306,0,NA,3.60222225244302
"16",16,8050.51336416278,0,NA,0.853079379917811
"17",17,28134.2649478185,0,NA,0.812100007627503
"18",18,16484.5641378428,1,60,6.23095304537426
"19",19,16190.9417569084,1,274,1.75152373304274
"20",20,24176.3313080961,0,NA,1.55674641224493
"21",21,10942.0813128574,1,158,3.05960561962409
"22",22,24455.4944709889,0,NA,0.575072493419578
"23",23,25091.1343590579,0,NA,0.360261027818512
"24",24,26905.9481430133,0,NA,1.27189299027209
"25",25,43001.4605687754,0,NA,0.524418201518967
"26",26,21687.6164787364,0,NA,0.471944748112424
"27",27,19230.0424804657,1,50,2.90008915978012
"28",28,27731.2796993533,0,NA,7.80771911780608
"29",29,17933.7985526676,1,625,0.0664391989751001
"30",30,39204.0296766362,0,NA,0.514242222587376
"31",31,22382.2934651056,0,NA,0.617578875200046
"32",32,37327.2491549946,0,NA,0.353039874345244
"33",33,45298.7098877503,0,NA,3.04669306982641
"34",34,15509.282654134,0,NA,2.33074418770177
"35",35,22799.9109590314,0,NA,1.20494789945789
"36",36,27131.2826378202,0,NA,0.538901973247279
"37",37,44700.9687942974,0,NA,0.654692787980077
"38",38,24814.0136844761,0,NA,1.71280219904706
"39",39,48863.4395361528,0,NA,0.69345122406839
"40",40,26404.446658161,0,NA,2.8246763003647
"41",41,25200.6220232583,0,NA,0.806155281148544
"42",42,14390.471044064,1,124,1.30736014872498
"43",43,48262.0756653865,0,NA,0.560544575228993
"44",44,38799.8716828089,0,NA,27.6300474249834
"45",45,8251.09701332568,0,NA,1.97958483928312
"46",46,32012.7945251173,0,NA,0.348578492087747
"47",47,17208.5298415719,1,603,0.960689289372112
"48",48,14171.6526438687,0,NA,0.686016141881666
"49",49,14282.5024066951,1,772,0.975607789714072
"50",50,34901.770097498,0,NA,1.78527291637889
"51",51,15050.8818774185,0,NA,0.33302032449905
"52",52,46739.3660670723,0,NA,0.534830736730497
"53",53,7839.74106527024,1,151,1.06347144294891
